visitor,home,gametime,channel

American University,Army,2024-02-28 3:00 PM CST,ESPN+
Boston University,Lehigh,2024-02-28 5:00 PM CST,ESPN+
Missouri,Florida,2024-02-28 5:30 PM CST,SECN
Rhode Island,VCU,2024-02-28 5:30 PM CST,CBSSN
Detroit,Youngstown State,2024-02-28 5:30 PM CST,ESPN+
Old Dominion,Appalachian State,2024-02-28 5:30 PM CST,ESPN+
Auburn,Tennessee,2024-02-28 6:00 PM CST,ESPN2
Providence,Marquette,2024-02-28 6:00 PM CST,FS1
Louisville,Duke,2024-02-28 6:00 PM CST,ACCN
North Texas,Tulane,2024-02-28 6:00 PM CST,ESPN+
Presbyterian,South Carolina Upstate,2024-02-28 6:00 PM CST,ESPN+
Winthrop,High Point,2024-02-28 6:00 PM CST,ESPN+
Radford,Charleston Southern,2024-02-28 6:00 PM CST,ESPN+
Northwestern,Maryland,2024-02-28 6:00 PM CST,BTN
Stetson,Jacksonville,2024-02-28 6:00 PM CST,ESPN+
DePaul,Xavier,2024-02-28 6:00 PM CST,FS2
Colgate,Holy Cross,2024-02-28 6:00 PM CST,ESPN+
Lafayette,Navy,2024-02-28 6:00 PM CST,ESPN+
La Salle,Duquesne,2024-02-28 6:00 PM CST,ESPN+
Bucknell,Loyola Maryland,2024-02-28 6:00 PM CST,ESPN+
Mercer,Chattanooga,2024-02-28 6:00 PM CST,ESPN+
Furman,Western Carolina,2024-02-28 6:00 PM CST,ESPNU
East Tennessee State,The Citadel,2024-02-28 6:00 PM CST,ESPN+
VMI,UNC Greensboro,2024-02-28 6:00 PM CST,ESPN+
Samford,Wofford,2024-02-28 6:00 PM CST,ESPN+
Northern Kentucky,Robert Morris,2024-02-28 6:00 PM CST,ESPN+
Milwaukee,IUPUI,2024-02-28 6:00 PM CST,ESPN+
Green Bay,Cleveland State,2024-02-28 6:00 PM CST,ESPN+
Purdue Fort Wayne,Wright State,2024-02-28 6:00 PM CST,ESPN+
James Madison,Georgia State,2024-02-28 6:00 PM CST,ESPN+
Marshall,Georgia Southern,2024-02-28 6:00 PM CST,ESPN+
Florida Gulf Coast,North Florida,2024-02-28 6:00 PM CST,ESPN+
Arkansas State,Coastal Carolina,2024-02-28 6:30 PM CST,ESPN+
Oklahoma,Iowa State,2024-02-28 7:00 PM CST,ESPN+
California,Colorado,2024-02-28 7:00 PM CST,PAC12
UCF,Oklahoma State,2024-02-28 7:00 PM CST,ESPN+
Tulsa,UTSA,2024-02-28 7:00 PM CST,ESPN+
Wichita State,UAB,2024-02-28 7:00 PM CST,ESPN+
Temple,Rice,2024-02-28 7:00 PM CST,ESPN+
Drake,UIC,2024-02-28 7:00 PM CST,ESPN+
Belmont,Murray State,2024-02-28 7:00 PM CST,ESPN+
Missouri State,Illinois State,2024-02-28 7:00 PM CST,ESPN+
Indiana State,Evansville,2024-02-28 7:00 PM CST,ESPN+
Southern Illinois,Bradley,2024-02-28 7:00 PM CST,ESPN+
Richmond,Saint Louis,2024-02-28 7:00 PM CST,ESPN+
Bellarmine,Lipscomb,2024-02-28 7:00 PM CST,ESPN+
Southern Miss,South Alabama,2024-02-28 7:00 PM CST,ESPN+
Troy,Louisiana,2024-02-28 7:00 PM CST,ESPN+
Eastern Kentucky,Austin Peay,2024-02-28 7:00 PM CST,ESPN+
Louisiana Tech,Western Kentucky,2024-02-28 7:00 PM CST,ESPN+
South Carolina,Texas A&M,2024-02-28 7:30 PM CST,SECN
St. John's,Butler,2024-02-28 7:30 PM CST,CBSSN
Seton Hall,Creighton,2024-02-28 8:00 PM CST,FS1
Minnesota,Illinois,2024-02-28 8:00 PM CST,BTN
Alabama,Ole Miss,2024-02-28 8:00 PM CST,ESPN2
Virginia,Boston College,2024-02-28 8:00 PM CST,ESPNU
Arizona,Arizona State,2024-02-28 9:00 PM CST,PAC12
Oregon State,Oregon,2024-02-28 10:00 PM CST,FS1
Maine,Binghamton,2024-02-29 5:07 PM CST,ESPN+,
Nebraska,Ohio State,2024-02-29 5:30 PM CST,FS1,
Bryant,UMass Lowell,2024-02-29 5:30 PM CST,ESPN+,
Memphis,East Carolina,2024-02-29 6:00 PM CST,ESPN2,
Longwood,Gardner-Webb,2024-02-29 6:00 PM CST,ESPN+,
William & Mary,Elon,2024-02-29 6:00 PM CST,CBSSN,
Towson,North Carolina A&T,2024-02-29 6:00 PM CST,,
Stony Brook,Drexel,2024-02-29 6:00 PM CST,,
Northeastern,Delaware,2024-02-29 6:00 PM CST,,
Monmouth,Hampton,2024-02-29 6:00 PM CST,,
Hofstra,UNC Wilmington,2024-02-29 6:00 PM CST,,
Campbell,Charleston,2024-02-29 6:00 PM CST,,
Merrimack,Fairleigh Dickinson,2024-02-29 6:00 PM CST,,
Long Island University,Central Connecticut,2024-02-29 6:00 PM CST,,
Wagner,Le Moyne,2024-02-29 6:00 PM CST,,
Sacred Heart,Stonehill,2024-02-29 6:00 PM CST,,
UMBC,NJIT,2024-02-29 6:00 PM CST,ESPN+,
New Hampshire,UAlbany,2024-02-29 6:00 PM CST,ESPN+,
UTEP,Jacksonville State,2024-02-29 6:00 PM CST,ESPN+,
Southeast Missouri State,Morehead State,2024-02-29 6:30 PM CST,ESPN+,
South Dakota State,North Dakota,2024-02-29 7:00 PM CST,,
North Dakota State,South Dakota,2024-02-29 7:00 PM CST,,
Omaha,St. Thomas-Minnesota,2024-02-29 7:00 PM CST,,
Stanford,Utah,2024-02-29 7:30 PM CST,PAC12,
Michigan,Rutgers,2024-02-29 7:30 PM CST,FS1,
Tennessee Tech,UT Martin,2024-02-29 7:30 PM CST,ESPN+,
Lindenwood,Southern Indiana,2024-02-29 7:30 PM CST,ESPN+,
Eastern Illinois,Western Illinois,2024-02-29 7:30 PM CST,ESPN+,
Abilene Christian,Southern Utah,2024-02-29 7:30 PM CST,ESPN+,
Santa Clara,Portland,2024-02-29 8:00 PM CST,ESPN+,
Tennessee State,Little Rock,2024-02-29 8:00 PM CST,ESPNU,
Kansas City,Denver,2024-02-29 8:00 PM CST,,
Tarleton State,Utah Tech,2024-02-29 8:00 PM CST,ESPN+,
UT Rio Grande Valley,Grand Canyon,2024-02-29 8:00 PM CST,ESPN+,
Hawaii,UC Davis,2024-02-29 8:00 PM CST,ESPN+,
New Mexico State,Liberty,2024-02-29 8:00 PM CST,CBSSN,
Northern Colorado,Weber State,2024-02-29 8:00 PM CST,ESPN+,
Northern Arizona,Idaho State,2024-02-29 8:00 PM CST,ESPN+,
Montana State,Idaho,2024-02-29 8:00 PM CST,ESPN+,
Montana,Eastern Washington,2024-02-29 8:00 PM CST,ESPN+,
San Diego,Loyola Marymount,2024-02-29 9:00 PM CST,ESPN+,
Stephen F. Austin,California Baptist,2024-02-29 9:00 PM CST,ESPN+,
UT Arlington,Seattle U,2024-02-29 9:00 PM CST,ESPN+,
UC Irvine,Cal State Northridge,2024-02-29 9:00 PM CST,ESPN+,
Cal State Fullerton,Long Beach State,2024-02-29 9:00 PM CST,ESPN+,
UC San Diego,Cal State Bakersfield,2024-02-29 9:00 PM CST,ESPN+,
Cal Poly,UC Santa Barbara,2024-02-29 9:00 PM CST,ESPN+,
USC,Washington State,2024-02-29 9:30 PM CST,PAC12,
UCLA,Washington,2024-02-29 9:30 PM CST,FS1,
Saint Mary's,Pepperdine,2024-02-29 10:00 PM CST,CBSSN,
Gonzaga,San Francisco,2024-02-29 10:00 PM CST,ESPN2,
Bowling Green,Ohio,2024-03-01 5:00 PM CST,CBSSN,
Arkansas State,Appalachian State,2024-03-01 5:30 PM CST,ESPN+,
Manhattan,Siena,2024-03-01 6:00 PM CST,ESPN+,
Rider,Niagara,2024-03-01 6:00 PM CST,ESPN+,
Quinnipiac,Iona,2024-03-01 6:00 PM CST,ESPN+,
Fairfield,Marist,2024-03-01 6:00 PM CST,ESPNU,
Mount St. Mary's,Canisius,2024-03-01 6:00 PM CST,ESPN+,
Florida Gulf Coast,Jacksonville,2024-03-01 6:00 PM CST,ESPN+,
Dartmouth,Yale,2024-03-01 6:00 PM CST,ESPN+,
Marshall,Georgia State,2024-03-01 6:00 PM CST,ESPN+,
Old Dominion,Georgia Southern,2024-03-01 6:00 PM CST,ESPN+,
Harvard,Brown,2024-03-01 6:00 PM CST,ESPN+,
Stetson,North Florida,2024-03-01 6:00 PM CST,ESPN+,
Kennesaw State,Queens University,2024-03-01 6:00 PM CST,ESPN+,
James Madison,Coastal Carolina,2024-03-01 6:30 PM CST,ESPN+,
North Alabama,Central Arkansas,2024-03-01 6:30 PM CST,ESPN+,
Cornell,Pennsylvania,2024-03-01 7:00 PM CST,ESPN+,
Columbia,Princeton,2024-03-01 7:00 PM CST,ESPN+,
UL Monroe,South Alabama,2024-03-01 7:00 PM CST,ESPN+,
Eastern Kentucky,Lipscomb,2024-03-01 7:00 PM CST,ESPN+,
Bellarmine,Austin Peay,2024-03-01 7:00 PM CST,ESPN+,
Troy,Texas State,2024-03-01 7:15 PM CST,ESPN+,
Southern Miss,Louisiana,2024-03-01 7:30 PM CST,ESPN+,
Dayton,Loyola Chicago,2024-03-01 8:00 PM CST,ESPN2,
Fresno State,Nevada,2024-03-01 9:30 PM CST,CBSSN,
Air Force,Utah State,2024-03-01 10:00 PM CST,FS1,
Florida,South Carolina,2024-03-01 11:00 AM CST,ESPN,
Florida State,Georgia Tech,2024-03-01 11:00 AM CST,ESPN2,
Tulane,Florida Atlantic,2024-03-01 11:00 AM CST,ESPNU,
Villanova,Providence,2024-03-01 11:00 AM CST,FOX,
Butler,DePaul,2024-03-01 11:00 AM CST,FS1,
Colgate,Lehigh,2024-03-01 11:00 AM CST,CBSSN,
Holy Cross,Boston University,2024-03-01 11:00 AM CST,,
Fordham,Saint Joseph's,2024-03-01 11:30 AM CST,ESPN+,
Kansas,Baylor,2024-03-01 12:00 PM CST,ABC,
Illinois,Wisconsin,2024-03-01 12:00 PM CST,BTN,
Tulsa,Temple,2024-03-01 12:00 PM CST,ESPN+,
Monmouth,Elon,2024-03-01 12:00 PM CST,,
Stonehill,Central Connecticut,2024-03-01 12:00 PM CST,,
Miami (OH),Eastern Michigan,2024-03-01 12:00 PM CST,ESPN+,
Wofford,VMI,2024-03-01 12:00 PM CST,ESPN+,
Arkansas,Kentucky,2024-03-01 12:30 PM CST,CBS,
Oregon,Arizona,2024-03-01 1:00 PM CST,ESPN,
Oklahoma State,Texas,2024-03-01 1:00 PM CST,ESPN2,
UNC Asheville,Radford,2024-03-01 1:00 PM CST,ESPN+,
Gardner-Webb,Winthrop,2024-03-01 1:00 PM CST,ESPN+,
Charleston Southern,Presbyterian,2024-03-01 1:00 PM CST,ESPN+,
Towson,UNC Wilmington,2024-03-01 1:00 PM CST,CBSSN,
Hofstra,Charleston,2024-03-01 1:00 PM CST,,
Hampton,William & Mary,2024-03-01 1:00 PM CST,,
Navy,American University,2024-03-01 1:00 PM CST,ESPN+,
George Washington,La Salle,2024-03-01 1:00 PM CST,ESPN+,
Duquesne,George Mason,2024-03-01 1:00 PM CST,ESPN+,
