visitor,home,gametime,channel

Arizona,St. Louis,2024-04-24 12:15 PM CDT,,,
Mets,San Francisco,2024-04-24 2:45 PM CDT,,,
Baltimore,Angels,2024-04-24 3:07 PM CDT,,,
Boston,Cleveland,2024-04-24 5:10 PM CDT,NESN,
Milwaukee,Pittsburgh,2024-04-24 5:40 PM CDT,,,
Philadelphia,Cincinnati,2024-04-24 5:40 PM CDT,,,
Dodgers,Washington,2024-04-24 5:45 PM CDT,,,
Detroit,Tampa Bay,2024-04-24 5:50 PM CDT,,,
Oakland,Yankees,2024-04-24 6:05 PM CDT,,,
Miami,Atlanta,2024-04-24 6:20 PM CDT,,,
White Sox,Minnesota,2024-04-24 6:40 PM CDT,,,
Houston,Cubs,2024-04-24 6:40 PM CDT,,,
Toronto,Kansas City,2024-04-24 6:40 PM CDT,ESPN+,
Seattle,Texas,2024-04-24 7:05 PM CDT,,,
San Diego,Colorado,2024-04-24 7:40 PM CDT,,,
Milwaukee,Pittsburgh,2024-04-25 11:35 AM CDT,,,
Boston,Cleveland,2024-04-25 12:10 PM CDT,NESN,
White Sox,Minnesota,2024-04-25 12:10 PM CDT,,,
Philadelphia,Cincinnati,2024-04-25 12:10 PM CDT,ESPN+,
Toronto,Kansas City,2024-04-25 1:10 PM CDT,,,
Houston,Cubs,2024-04-25 1:20 PM CDT,,,
Seattle,Texas,2024-04-25 1:35 PM CDT,,,
San Diego,Colorado,2024-04-25 2:10 PM CDT,,,
Dodgers,Washington,2024-04-25 3:05 PM CDT,,,
Oakland,Yankees,2024-04-25 6:05 PM CDT,,,
Kansas City,Detroit,2024-04-26 12:10 PM CDT,,,
Oakland,Baltimore,2024-04-26 6:05 PM CDT,,,
Dodgers,Toronto,2024-04-26 6:07 PM CDT,,,
Cubs,Boston,2024-04-26 6:10 PM CDT,NESN,
St. Louis,Mets,2024-04-26 6:10 PM CDT,Apple,
Washington,Miami,2024-04-26 6:10 PM CDT,,,
Cleveland,Atlanta,2024-04-26 6:20 PM CDT,,,
Tampa Bay,White Sox,2024-04-26 6:40 PM CDT,Apple,
Cincinnati,Texas,2024-04-26 7:05 PM CDT,,,
Yankees,Milwaukee,2024-04-26 7:10 PM CDT,,,
Minnesota,Angels,2024-04-26 8:38 PM CDT,,,
Arizona,Seattle,2024-04-26 8:40 PM CDT,ESPN+,
Philadelphia,San Diego,2024-04-26 8:40 PM CDT,,,
Pittsburgh,San Francisco,2024-04-26 9:15 PM CDT,,


