gametime,home,visitor
2020-08-07 05:00:00 EDT,Chunichi,Yomiuri
2020-08-07 05:00:00 EDT,Yakult,Yokohama
2020-08-07 05:00:00 EDT,Hiroshima,Hanshin
2020-08-07 05:00:00 EDT,Nippon,Seibu
2020-08-07 05:00:00 EDT,Rakuten,SoftBank
2020-08-07 05:00:00 EDT,Orix,Lotte
2020-08-08 01:00:00 EDT,Chunichi,Yomiuri
2020-08-08 05:00:00 EDT,Yakult,Yokohama
2020-08-08 05:00:00 EDT,Hiroshima,Hanshin
2020-08-08 01:00:00 EDT,Nippon,Seibu
2020-08-08 05:00:00 EDT,Rakuten,SoftBank
2020-08-08 01:00:00 EDT,Orix,Lotte
2020-08-09 01:00:00 EDT,Chunichi,Yomiuri
2020-08-09 05:00:00 EDT,Yakult,Yokohama
2020-08-09 05:00:00 EDT,Hiroshima,Hanshin
2020-08-09 00:00:00 EDT,Nippon,Seibu
2020-08-09 04:00:00 EDT,Rakuten,SoftBank
2020-08-09 00:00:00 EDT,Orix,Lotte
2020-08-10 05:00:00 EDT,Yokohama,Hanshin
2020-08-10 05:00:00 EDT,Hiroshima,Chunichi
2020-08-11 05:00:00 EDT,Yokohama,Hanshin
2020-08-11 05:00:00 EDT,Hiroshima,Chunichi
2020-08-11 05:00:00 EDT,Seibu,Rakuten
2020-08-11 05:00:00 EDT,Lotte,Nippon
2020-08-11 05:00:00 EDT,SoftBank,Orix
2020-08-12 05:00:00 EDT,Yomiuri,Yakult
2020-08-12 05:00:00 EDT,Yokohama,Hanshin
2020-08-12 05:00:00 EDT,Hiroshima,Chunichi
2020-08-12 05:00:00 EDT,Seibu,Rakuten
2020-08-12 05:00:00 EDT,Lotte,Nippon
2020-08-12 05:00:00 EDT,SoftBank,Orix
2020-08-13 05:00:00 EDT,Yomiuri,Yakult
2020-08-13 05:00:00 EDT,Seibu,Rakuten
2020-08-13 05:00:00 EDT,Lotte,Nippon
2020-08-13 05:00:00 EDT,SoftBank,Orix
2020-08-14 05:00:00 EDT,Yomiuri,Chunichi
2020-08-14 05:00:00 EDT,Yokohama,Yakult
2020-08-14 05:00:00 EDT,Hanshin,Hiroshima
2020-08-14 05:00:00 EDT,Seibu,Rakuten
2020-08-14 05:00:00 EDT,Lotte,Nippon
