team_name,name,stadium_id,surface,capacity,geo_lat,geo_lng
North Carolina,Kenan Stadium,801,1,51000,35.90710413957759, -79.04723268446202
Virginia,Scott Stadium,718,0,60000,38.03121300593276, -78.51300124775999
Louisville,Cardinal Stadium,795,2,60800,38.20611806081445, -85.75797273706821
Duke,Wallace Wade Stadium,727,0,40004,35.995662896529446, -78.9405567891783
Clemson,Memorial Stadium,764,0,80301,34.679353061612424, -82.84287207865998
Pittsburgh,Heinz Field,713,0,68400,40.446911713654586, -80.01525603724924
Florida State,Doak Campbell Stadium,763,0,79560,30.438301059904553, -84.30407677231304
Syracuse,JMA Wireless Dome,694,2,49057,43.03635057740336, -76.13581029583703
Virginia Tech,Lane Stadium,712,0,65623,37.22016666592108, -80.4176136811769
Georgia Tech,Bobby Dodd Stadium,766,2,55000,33.773164622250604, -84.39254537459715
NC State,Carter-Finley Stadium,680,0,58000,35.80105239414, -78.71883592712912
Wake Forest,Truist Field,677,2,31500,36.130736020551005, -80.25466431878759
Boston College,Alumni Stadium,808,2,44500,42.54938,-64.02374
Miami Florida,Hard Rock Stadium,729,0,65326,25.958188324596094, -80.2381952041068
Indiana,Memorial Stadium,774,2,52626,39.18110667858592, -86.5249771282657
Minnesota,Huntington Bank Stadium,687,2,50300,44.97671468984948, -93.22420286795561
Purdue,Ross-Ade Stadium,704,0,57282,40.4345222676265, -86.91769820059471
Iowa,Kinnick Stadium,719,2,69250,41.658774383321, -91.55058230924347
Maryland,Maryland Stadium,711,2,51802,38.9904918986462, -76.94657710075663
Michigan,Michigan Stadium,707,2,107601,42.26606669911645, -83.74820206222873
Wisconsin,Camp Randall Stadium,770,2,80321,43.07007778449021, -89.41205409051601
Michigan State,Spartan Stadium,696,0,75005,42.72822555057354, -84.48424319486097
Ohio State,Ohio Stadium,705,2,102780,40.001884546273615, -83.01907322951872 
Nebraska,Memorial Stadium,746,2,90000,40.820882902394544, -96.7051427463599
Penn State,Beaver Stadium,796,0,107282,40.81237438632804, -77.85535127091784
Illinois,Memorial Stadium,721,2,62872,40.09947589151328, -88.23546506520495
Northwestern,Ryan Field,706,0,49256,42.06557378904348, -87.6921298134349
Rutgers,Shi Stadium,759,2,52454,40.51384758977834, -74.46475207576958
Oklahoma,Memorial Stadium,779,0,86112,35.20620430581584, -97.44178877345652
West Virginia,Milan Puskar Stadium,710,2,60180,39.65027881603834, -79.9544073755256
Iowa State,Jack Trice Stadium,745,0,61500,42.014104757963445, -93.63515044841381
Texas Tech,Jones AT&T Stadium,750,2,60454,33.59127544093518, -101.87221397367568
Kansas State,Bill Snyder Family Stadium,797,2,52200,39.202162015770774, -96.59338312375704
Oklahoma State,Boone Pickens Stadium,722,2,55509,36.1257931320112, -97.065748701734
TCU,Amon G. Carter Stadium,749,0,47000,32.709861710317135, -97.3667979918563
Kansas,Memorial Stadium,738,2,47000,38.96318367057187, -95.24572485792861
Baylor,McLane Stadium,697,2,45000,31.747814664316877, -96.5758121790133
Texas,Darrell K Royal Memorial Stadium,756,2,100119,30.283827264260733, -97.73207950848581
USC,Los Angeles Memorial Coliseum,765,0,78467,34.01427487954631, -118.28734967809824
Arizona,Arizona Stadium,792,2,50782,32.228893505798936, -110.94826463912429
Washington,Husky Stadium,715,2,70138,47.65045294366156, -122.30112309440995
Colorado,Folsom Field,776,0,53613,40.00958699967717, -105.26658648758207
California,California Memorial Stadium,806,2,63000,37.87076714647687, -122.25010237667189
UCLA,Rose Bowl,788,0,90888,34.161479271013874, -118.16709902257602
Stanford,Stanford Stadium,698,0,50424,37.434729827048905, -122.16048908842782
Arizona State,Sun Devil Stadium,755,0,53599,33.42661412988345, -111.93216559808792
Washington State,Martin Stadium,747,2,32952,46.73197616887761, -117.16000615191969
Oregon State,Reser Stadium,803,2,43363,44.559697991614506, -123.28080710528243
